# index, name, _pos
0,SR,"array([10.21431043,  1.09436614])"
1,ZC,"array([10.32040941,  1.0278504 ])"
2,NE,"array([10.29004715,  1.23524934])"
3,SL,"array([10.5343066 ,  1.33991188])"
4,JC,"array([10.62359739,  1.51928822])"
5,ZK,"array([9.87775566, 1.82789502])"
6,BC,"array([10.05885121,  1.80853116])"
7,JT,"array([10.01596584,  1.97068947])"
8,EI,"array([10.1317701 ,  1.48964951])"
9,BE,"array([10.43571024,  1.54272741])"
10,VS,"array([10.18995419,  1.93984338])"
11,PL,"array([10.15740505,  2.08698904])"
12,NV,"array([9.66803569, 2.15804761])"
13,ET,"array([9.89646539, 2.11984955])"
14,TI,"array([9.71872973, 2.26630078])"
15,CR,"array([9.54067158, 2.28045008])"
16,GO,"array([10.40578565,  2.24077277])"
17,KR,"array([10.31629144,  1.63898208])"
18,AG,"array([10.30116857,  1.48023602])"
19,GZ,"array([10.19493513,  1.76165289])"
20,KN,"array([10.28565563,  2.40826923])"
21,EA,"array([10.40550332,  2.50445298])"
22,GE,"array([10.52153548,  2.70325706])"
23,PD,"array([11.04147422,  2.18093868])"
24,LV,"array([11.24194716,  2.18861086])"
25,LG,"array([10.7839408 ,  2.18087333])"
26,MC,"array([10.57035172,  2.23884671])"
27,TL,"array([10.63960155,  2.37248904])"
28,WL,"array([10.66787991,  2.08745101])"
29,MN,"array([10.78786719,  2.31138729])"
30,CH,"array([10.69233161,  1.79133601])"
31,TY,"array([10.64764284,  2.62966929])"
32,SA,"array([10.619204  ,  2.81633856])"
