# source, target
0,1
0,2
1,0
1,2
2,0
2,8
3,2
3,4
4,3
4,9
5,6
5,7
6,11
6,7
7,11
7,13
8,18
8,6
9,17
9,18
10,6
10,11
11,16
11,7
12,13
12,14
13,11
13,7
14,12
14,13
15,12
15,14
16,11
16,26
17,9
17,19
18,17
18,9
19,7
19,17
20,21
20,16
21,16
21,22
22,32
22,31
23,24
23,25
25,27
25,28
26,25
26,16
27,26
27,16
28,16
28,25
29,27
29,28
30,28
30,4
31,27
31,22
32,31
32,22
