# index, name, _pos
0,ZV,"array([  2.50457353, -15.72616157])"
1,MK,"array([  2.50518853, -15.51798487])"
2,LL,"array([  2.32787737, -15.63442981])"
3,LN,"array([  2.50039445, -15.34011047])"
4,CR1,"array([  2.20278611, -15.37154812])"
5,SL,"array([  1.75359954, -15.52159088])"
6,KP,"array([  2.32633146, -15.88574017])"
7,FE,"array([  2.09687444, -15.72603497])"
8,JM,"array([  2.23747091, -15.05782237])"
9,ZI,"array([  2.13858545, -15.15964806])"
10,GU,"array([  1.94401632, -15.49958191])"
11,GL,"array([  2.04981055, -15.39298875])"
12,WI,"array([  2.65991637, -15.44138947])"
13,GR,"array([  2.35674074, -15.42627899])"
14,OW,"array([  2.32929264, -15.21328619])"
15,HN,"array([  1.49487416, -15.75999478])"
16,CM,"array([  1.49123017, -15.91906776])"
17,PO,"array([  1.64306791, -15.66075613])"
18,SR,"array([  1.61576096, -15.83518379])"
19,CR2,"array([  1.33239322, -15.78286877])"
20,JN,"array([  1.51213784, -15.59585479])"
21,CO,"array([  1.7925051 , -15.85956479])"
22,MR,"array([  1.74121205, -15.26929121])"
23,BE,"array([  1.61429921, -15.21143311])"
24,SH,"array([  1.60443291, -15.45916702])"
25,HF,"array([  1.50660581, -15.28444862])"
26,FS,"array([  1.4128519 , -15.46739683])"
27,AT,"array([  1.83319756, -15.69773967])"
28,MG,"array([  1.91520903, -15.22439855])"
