# index, name, _pos
0,GO1,"array([-2.98488506,  0.86791962])"
1,LP,"array([-2.95675841,  1.34825587])"
2,PR,"array([-3.55699067,  3.00557276])"
3,WO,"array([-3.34686456,  2.41781597])"
4,FA1,"array([-3.19714822,  2.96207321])"
5,CA,"array([-3.72010476,  2.18584599])"
6,CE,"array([-3.1286156 ,  1.92922718])"
7,HN1,"array([-3.61538221,  2.70444297])"
8,FA2,"array([-2.36291912,  1.56251772])"
9,FI,"array([-2.66954048,  1.51927661])"
10,BO,"array([-2.33046436,  1.82920065])"
11,GO2,"array([-2.25261004,  2.86190312])"
12,SR,"array([-2.23527893,  2.20060916])"
13,SI,"array([-2.55639663,  3.09367659])"
14,SH,"array([-3.40494624,  1.52330049])"
15,MR,"array([-3.57390615,  1.94021592])"
16,WI,"array([-3.34304401,  2.75798067])"
17,HC,"array([-2.8254759 ,  2.72389501])"
18,RS,"array([-3.62845472,  2.46067467])"
19,DC,"array([-3.04766397,  2.3163507 ])"
20,KR2,"array([-2.32950725,  2.56577117])"
21,MB,"array([-2.56942449,  2.24026267])"
22,GA,"array([-3.07328078,  2.59903076])"
23,HN2,"array([-2.9291481,  2.0509106])"
24,SM,"array([-3.92458903,  2.61466548])"
25,BB,"array([-3.09162404,  3.264659  ])"
26,TS,"array([-2.84798729,  3.16928944])"
27,CH,"array([-1.56279501,  2.67753744])"
28,CN,"array([-2.01671429,  2.53399666])"
29,KI,"array([-3.14022439,  1.63740177])"
30,KR1,"array([-3.40303049,  2.08680426])"
31,EL,"array([-2.77249254,  1.74258002])"
32,SA,"array([-1.96716967,  2.12069928])"
33,HF,"array([-2.81761731,  2.44204682])"
34,TA,"array([-2.65097942,  1.96979804])"
